sku_id,sku_status,licensed,tier,shop,trust,title,variant,price_usd,boxes_per_case,unit_price_per_box,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Phoenix Basketball 6-pack Blaster Box,,34.99,,,1,48.98,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,NO_GO,0,https://ehcards.com/products/2023-24-panini-phoenix-basketball-6-pack-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,tanteo,watch,2023-24 Panini Phoenix Cartes Basketball NBA Blaster Box,,41.9,,,1,56.13,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://tanteocartescollections.com/products/2023-24-panini-phoenix-cartes-basketball-nba-6-pack-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,hiddengems,trusted,2023-24 Panini Phoenix Basketball Trading Cards Blaster Box,,19.99,,,0,33.47,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-phoenix-basketball-trading-cards-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,sportscardjunction,watch,2023-24 Panini Phoenix Basketball Blaster Box,,25.0,,,0,38.65,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://sportscardjunction.com/products/2023-24-panini-phoenix-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,cardiacs,trusted,2023-24 Panini Phoenix Basketball Blaster Box,,29.95,,,0,43.77,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://www.thecardiacs.com/products/2023-24-panini-phoenix-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Phoenix Basketball Blaster Box,,30.0,,,0,43.82,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://bleeckertrading.com/products/2023-24-phoenix-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Phoenix Basketball Blaster Box,,35.0,,,0,48.99,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://theawesomecardshop.com/products/2023-24-panini-phoenix-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Phoenix Basketball Retail Blaster Box,,35.0,,,0,48.99,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://bleeckertrading.com/products/2023-24-panini-phoenix-basketball-retail-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,deichcards,watch,Panini Phoenix Basketball NBA Blaster Box 2023/2024,,45.0,,,0,59.34,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://deichcards.de/products/panini-phoenix-basketball-nba-blaster-box-2023-2024,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,ACTIVE,True,retail,boxseat,watch,2023-24 Panini Phoenix Basketball Trading Cards Blaster Box,,59.99,,,0,74.84,34.95,20.0,ebay_sold,2026-08-19,27.0,31.0,49.99,,0,https://boxseatcollectibles.com/products/2023-24-panini-phoenix-basketball-trading-cards-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Premium Stock Basketball Blaster Box,,44.99,,,1,59.33,34.96,,,,30.0,35.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-premium-stock-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,fancave,watch,2023-24 Panini NBA Hoops Premium Stock Basketball Blaster Box,,64.99,,,1,80.01,34.96,,,,30.0,35.0,,,0,https://fancave.com/products/2023-24-panini-nba-hoops-premium-stock-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,hiddengems,trusted,2023-24 NBA Hoops Premium Stock Blaster Box,,20.0,,,0,33.48,34.96,,,,30.0,35.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-nba-hoops-premium-stock-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,cardiacs,trusted,2023-24 Panini Premium Stock Basketball Blaster Box,,29.95,,,0,43.77,34.96,,,,30.0,35.0,,,0,https://www.thecardiacs.com/products/2023-24-panini-premium-stock-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,worldchampion,watch,2023/24 Panini Premium Stock Basketball 6-Pack Blaster Box,,35.0,,,0,48.99,34.96,,,,30.0,35.0,,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-premium-stock-basketball-6-pack-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,sportcards,watch,2023/24 Panini Premium Stock Basketball 6-Pack Blaster Box,,39.95,,,0,54.11,34.96,,,,30.0,35.0,,,0,https://sportcards.com/products/2023-24-panini-premium-stock-basketball-6-pack-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,monmouth,watch,2023-24 Panini Premium Stock Basketball Blaster Box,,39.99,,,0,54.15,34.96,,,,30.0,35.0,,,0,https://monmouthcards.com/products/2023-24-panini-premium-stock-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,deichcards,watch,Panini Premium Stock Basketball NBA Blaster Box 2023/2024,,44.9,,,0,59.23,34.96,,,,30.0,35.0,,,0,https://deichcards.de/products/panini-premium-stock-basketball-nba-blaster-box-2023-2024,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,boxseat,watch,2023-24 Panini NBA Premium Stock Basketball Trading Cards Blaster Box,,49.99,,,0,64.5,34.96,,,,30.0,35.0,,,0,https://boxseatcollectibles.com/products/2023-24-panini-nba-premium-stock-basketball-trading-cards-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,ACTIVE,True,retail,boxseat,watch,2023-24 Panini Premium Stock Basketball Trading Cards Blaster Box,,49.99,,,0,64.5,34.96,,,,30.0,35.0,,,0,https://boxseatcollectibles.com/products/2023-24-panini-premium-stock-basketball-trading-cards-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,hiddengems,trusted,2023-24 NBA Hoops Premium Stock Mega Box,,35.0,,,0,48.99,,,,,60.0,75.0,149.0,,0,https://www.hiddengemscardshop.com/products/2023-24-nba-hoops-premium-stock-mega-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,boxseat,watch,2023-24 Panini NBA Premium Stock Basketball Trading Cards Mega Box,,49.99,,,0,64.5,,,,,60.0,75.0,149.0,,0,https://boxseatcollectibles.com/products/2023-24-panini-nba-premium-stock-basketball-trading-cards-mega-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,e5sports,watch,2023-24 NBA Hoops Premium Stock Mega Box WEMBANYAMA,,50.0,,,0,64.51,,,,,60.0,75.0,149.0,,0,https://e5sports.com/products/2023-24-nba-hoops-premium-stock-mega-box-wembanyama,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,monmouth,watch,2023-24 Panini Premium Stock Basketball Mega Box,,52.24,,,0,66.82,,,,,60.0,75.0,149.0,,0,https://monmouthcards.com/products/2023-24-panini-premium-stock-basketball-mega-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,sportcards,watch,2023-24 Panini Premium Stock Basketball Trading Cards Mega Box,,59.95,,,0,74.8,,,,,60.0,75.0,149.0,,0,https://sportcards.com/products/2023-24-panini-premium-stock-basketball-trading-cards-mega-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Premium Stock Basketball NBA Mega Box,,60.0,,,0,74.85,,,,,60.0,75.0,149.0,,0,https://bleeckertrading.com/products/2023-24-panini-premium-stock-nba-mega-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,rlsports,watch,2023-24 Panini Premium Stock Basketball Mega Box,,64.99,,,0,80.01,,,,,60.0,75.0,149.0,,0,https://rlsportscards.com/products/2023-24-panini-premium-stock-basketball-mega-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,ACTIVE,True,retail,deichcards,watch,Panini Premium Stock Basketball NBA Mega Box 2023/2024,,74.9,,,0,90.26,,,,,60.0,75.0,149.0,,0,https://deichcards.de/products/panini-premium-stock-basketball-nba-mega-box-2023-2024,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Prizm  Basketball Blaster Box (Green Wave Prizm),,60.0,,,0,74.85,119.95,,,,60.0,80.0,116.66,,0,https://theawesomecardshop.com/products/2023-24-panini-prizm-basketball-blaster-green-wave-prizm,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Prizm Basketball Blaster Box (Ice Prizms),,62.75,,,0,77.7,119.95,,,,60.0,80.0,116.66,,0,https://theawesomecardshop.com/products/2023-24-panini-prizm-basketball-6-pack-blaster-box-ice-prizms,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,rlsports,watch,2023-24 Panini Prizm Basketball Blaster Box (Ice Prizms),,69.95,,,0,85.14,119.95,,,,60.0,80.0,116.66,,0,https://rlsportscards.com/products/2023-24-panini-prizm-basketball-blaster-box-ice-prizms,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,worldchampion,watch,2023/24 Panini Prizm Basketball 6-Pack Blaster Box (Ice Prizms),,70.0,,,0,85.2,119.95,,,,60.0,80.0,116.66,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-prizm-basketball-6-pack-blaster-box-ice-prizms,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,rlsports,watch,2023-24 Panini Prizm Basketball Blaster Box,,74.95,,,0,90.32,119.95,,,,60.0,80.0,116.66,,0,https://rlsportscards.com/products/2023-24-panini-prizm-basketball-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Prizm Basketball Blaster Box (Ice Prizms),,80.0,,,0,95.54,119.95,,,,60.0,80.0,116.66,,0,https://bleeckertrading.com/products/2023-24-prizm-nba-basketball-sealed-blaster-box,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,deichcards,watch,Panini Prizm Basketball NBA Blaster Box 2023/24,,84.9,,,0,100.61,119.95,,,,60.0,80.0,116.66,,0,https://deichcards.de/products/panini-prizm-basketball-nba-blaster-box-2023-24,2026-09-06T20:10:33+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Donruss Optic Basketball 6-Pack Blaster Box,,59.99,,,1,74.84,,,,,40.0,45.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box,2026-09-06T20:10:33+00:00,1.0
