sku_id,sku_status,licensed,tier,shop,trust,title,variant,price_usd,boxes_per_case,unit_price_per_box,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,worldchampion,watch,2023/24 Panini Prizm Basketball 6-Pack Blaster Box (Ice Prizms),,70.0,,,0,85.2,119.95,,,,60.0,80.0,150.0,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-prizm-basketball-6-pack-blaster-box-ice-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Prizm Basketball Blaster Box (Ice Prizms),,80.0,,,0,95.54,119.95,,,,60.0,80.0,150.0,,0,https://bleeckertrading.com/products/2023-24-prizm-nba-basketball-sealed-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Donruss Optic Basketball 6-Pack Blaster Box,,59.99,,,1,74.84,,,,,40.0,45.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,ACTIVE,True,retail,hiddengems,trusted,2023-24 Donruss Optic Basketball blaster,,35.0,,,0,48.99,,,,,40.0,45.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-donruss-optic-basketball-blaster,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Donruss Optic Basketball Blaster Box (Glitter),,45.0,,,0,59.34,,,,,40.0,45.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-hobby-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,ACTIVE,True,retail,columbia,trusted,2023-24 Panini Donruss Optic Basketball 6-Pack Blaster Box (Glitter Parallels),,49.95,,,0,64.46,,,,,40.0,45.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box-glitter-parallels,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Donruss Optic Basketball Blaster Box,,50.0,,,0,64.51,,,,,40.0,45.0,,,0,https://bleeckertrading.com/products/2023-24-panini-donruss-optic-basketball-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,rbicru7,trusted,"2023-24 Donruss Optic Basketball, Mega Box (Hyper Parallels)",,110.0,,,1,126.57,63.95,60.0,,,65.0,75.0,99.0,NO_GO,0,https://rbicru7.com/products/2023-24-donruss-optic-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Donruss Optic Basketball Mega Box (Hyper Pink),,59.99,,,0,74.84,63.95,60.0,,,65.0,75.0,99.0,,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,worldchampion,watch,2023/24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,60.0,,,0,74.85,63.95,60.0,,,65.0,75.0,99.0,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,worldchampion,watch,2023/24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,60.0,,,0,74.85,63.95,60.0,,,65.0,75.0,99.0,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms-1,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,columbia,trusted,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,64.99,,,0,80.01,63.95,60.0,,,65.0,75.0,99.0,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,ballgame,watch,2023/24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,68.0,,,0,83.13,63.95,60.0,,,65.0,75.0,99.0,,0,https://theballgame.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,70.0,,,0,85.2,63.95,60.0,,,65.0,75.0,99.0,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,70.0,,,0,85.2,63.95,60.0,,,65.0,75.0,99.0,,0,https://bleeckertrading.com/products/2023-24-panini-donruss-optic-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Donruss Optic Basketball Mega Box (Purple Shock),,80.0,,,0,95.54,63.95,60.0,,,65.0,75.0,99.0,,0,https://bleeckertrading.com/products/2023-24-panini-donruss-optic-basketball-mega-box-purple-shock,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Green Prizms),,95.0,,,0,111.06,63.95,60.0,,,65.0,75.0,99.0,,0,https://bleeckertrading.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-green-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,ACTIVE,True,retail,hiddengems,trusted,2023-24 Donruss Optic Basketball Mega Box Factory Sealed,,100.0,,,0,116.23,63.95,60.0,,,65.0,75.0,99.0,,0,https://www.hiddengemscardshop.com/products/2023-24-donruss-optic-basketball-mega-box-factory-sealed,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Select Fifa Blaster Box,,40.0,,,0,54.16,,,,,45.0,55.0,,,0,https://bleeckertrading.com/products/2023-24-panini-select-fifa-blaster-box,2026-08-18T08:42:05+00:00,0.97
PANINI_2023-24_SELECT_BLASTER,ACTIVE,True,retail,bleecker,watch,2023-24 Select Basketball Blaster Box,,45.0,,,0,59.34,,,,,45.0,55.0,,,0,https://bleeckertrading.com/products/2023-24-select-basketball-sealed-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,ACTIVE,True,retail,worldchampion,watch,2023-24 Panini Select Basketball 6-Pack Blaster Box,,45.0,,,0,59.34,,,,,45.0,55.0,,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-select-basketball-6-pack-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,ACTIVE,True,retail,ballgame,watch,2023/24 Panini Select Basketball 6-Pack Blaster Box (Flash Prizms),,48.0,,,0,62.44,,,,,45.0,55.0,,,0,https://theballgame.com/products/2023-24-panini-select-basketball-6-pack-blaster-box-flash-prizms,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Select Basketball Blaster Box (Flash Prizms),,49.75,,,0,64.25,,,,,45.0,55.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-blaster-box-1,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,ACTIVE,True,retail,columbia,trusted,2023/24 Panini Select Basketball 6-Pack Blaster Box (Flash Prizms),,49.95,,,0,64.46,,,,,45.0,55.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-6-pack-blaster-box-flash-prizms-1,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_MEGA,ACTIVE,True,retail,rbicru7,trusted,"2023-24 Panini Select Basketball, Mega Box (BLUE & PINK CRACKED ICE)",,110.0,,,1,126.57,75.0,60.0,ebay_sold,2026-08-17,55.0,65.0,134.0,NO_GO,0,https://rbicru7.com/products/2023-24-panini-select-basketball-mega-box-releases-5-17,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_MEGA,ACTIVE,True,retail,ballgame,watch,2023/24 Panini Select Basketball Mega Box (Blue Cracked Ice!),,75.0,,,0,90.37,75.0,60.0,ebay_sold,2026-08-17,55.0,65.0,134.0,,0,https://theballgame.com/products/2023-24-panini-select-basketball-mega-box-blue-cracked-ice,2026-08-18T08:42:05+00:00,1.0
